1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1057,977.0,3.0,739,318,645,1998.0,2034,9375,573.0,36,5,7,1057,1997,1998,219500
1143,1330.0,4.0,0,1143,852,2004.0,2473,9591,344.0,151,5,8,1143,2004,2005,317000
2207,0.0,3.0,912,1035,576,1970.0,2207,19900,287.0,0,5,7,1947,1970,1989,180000
1479,0.0,3.0,1013,440,558,2003.0,1479,10665,167.0,29,5,7,1453,2003,2003,226000
747,0.0,2.0,0,747,220,1945.0,747,4608,0.0,0,6,4,747,1945,1950,80000
1304,983.0,3.0,603,701,667,1953.0,2287,15593,0.0,21,4,7,1304,1953,1953,225000
2223,0.0,3.0,1880,343,516,1973.0,2223,13651,1115.0,0,6,7,2223,1973,1973,244000
845,0.0,2.0,565,280,360,1987.0,845,7599,0.0,0,6,4,845,1982,2006,129500
885,833.0,3.0,0,832,427,1998.0,1718,10141,40.0,94,5,7,832,1998,1998,185000
1086,0.0,3.0,320,404,490,1989.0,1086,10200,104.0,0,7,5,1086,1954,2003,144900
840,765.0,3.0,0,840,379,1915.0,1605,5790,0.0,0,6,3,840,1915,1950,107400
526,462.0,2.0,462,0,297,1973.0,988,1596,0.0,101,5,4,462,1973,1973,91000
952,0.0,2.0,228,724,283,1956.0,952,8475,0.0,0,7,4,952,1956,1956,135750
1072,213.0,2.0,336,295,240,1948.0,1285,8635,0.0,0,5,5,672,1948,2001,127000
1768,0.0,4.0,0,1768,0,1980.0,1768,10778,0.0,0,5,4,1768,1968,1968,136500
682,548.0,2.0,0,440,440,1966.0,1230,10440,0.0,0,6,5,440,1910,1981,110000
1182,960.0,3.0,448,448,509,1968.0,2142,13000,576.0,72,6,6,896,1968,1968,193500
1337,0.0,2.0,1201,36,405,1998.0,1337,4500,443.0,199,5,6,1237,1998,1998,153500
1563,0.0,3.0,33,1530,758,2007.0,1563,10206,468.0,99,5,8,1563,2007,2007,245000
1065,0.0,3.0,0,1065,461,1974.0,1065,8892,66.0,0,5,5,1065,1960,1960,126500
804,670.0,3.0,0,384,400,1995.0,1474,8530,22.0,72,5,7,384,1995,1996,168500
1301,1116.0,4.0,0,1288,462,1991.0,2417,16059,284.0,82,5,8,1288,1991,1992,260000
684,876.0,3.0,0,684,400,2005.0,1560,11911,0.0,38,5,6,684,2005,2005,174000
612,612.0,3.0,0,612,528,2009.0,1224,3951,76.0,234,5,6,612,2009,2009,164500
1013,0.0,2.0,0,1013,0,1980.0,1526,8470,0.0,0,2,3,1013,1915,1982,85000
990,0.0,3.0,588,402,0,1980.0,990,8070,0.0,0,5,4,990,1994,1995,123600
1040,0.0,2.0,0,0,420,1950.0,1040,7200,0.0,29,5,4,0,1950,1950,109900
1235,0.0,2.0,600,635,480,1961.0,1235,8500,203.0,0,3,5,1235,1961,1961,98600
964,0.0,2.0,713,163,432,1921.0,964,13360,0.0,0,7,5,876,1921,2006,163500
1260,1031.0,4.0,1046,168,506,1900.0,2291,7200,0.0,0,6,6,1214,1910,1998,133900
905,881.0,3.0,648,176,684,1997.0,1786,9337,0.0,162,5,6,824,1997,1997,204750
680,790.0,3.0,310,370,420,1993.0,1470,9765,68.0,63,8,6,680,1993,1993,185000
1588,0.0,3.0,1162,426,472,1999.0,1588,10264,183.0,29,5,7,1588,1999,1999,214000
960,0.0,3.0,520,440,432,1965.0,960,10921,48.0,0,5,4,960,1965,1965,94750
835,0.0,2.0,108,350,366,1920.0,835,10625,0.0,0,5,5,458,1920,1950,83000
1225,0.0,3.0,569,381,0,1980.0,1225,9320,0.0,0,5,4,950,1959,1959,128950
1610,0.0,3.0,1200,410,480,1977.0,1610,10603,28.0,68,7,6,1610,1977,2001,205000
977,755.0,3.0,0,741,476,1985.0,1732,9206,336.0,46,5,6,741,1985,1985,178000
1535,0.0,4.0,0,0,410,1979.0,1535,7018,0.0,0,5,5,0,1979,1979,118964
1226,0.0,3.0,0,1226,740,2009.0,1226,10402,0.0,36,5,7,1226,2009,2009,198900
1226,592.0,4.0,224,816,240,1951.0,1818,7758,600.0,0,4,7,1040,1931,1950,169500
1053,0.0,3.0,0,1053,648,2003.0,1992,9375,768.0,45,5,8,1053,2003,2004,250000
1047,0.0,2.0,0,641,273,1954.0,1047,10800,0.0,0,7,4,641,1885,1995,100000
789,0.0,2.0,104,516,250,1948.0,789,6000,0.0,0,5,5,789,1948,1950,115000
997,0.0,3.0,0,793,0,1980.0,1517,8500,0.0,0,7,5,793,1919,2005,115000
1844,0.0,3.0,705,1139,546,1977.0,1844,11751,480.0,122,6,6,1844,1977,1977,190000
1216,639.0,4.0,444,550,325,1954.0,1855,9525,0.0,0,4,6,994,1954,1972,136900
774,656.0,3.0,250,134,400,2000.0,1430,7750,0.0,0,5,7,384,2000,2000,180000
1282,1414.0,4.0,984,280,792,2007.0,2696,9965,220.0,184,5,7,1264,2007,2007,383970
2259,0.0,3.0,35,905,450,1953.0,2259,21000,184.0,120,5,6,1809,1953,1953,217000
1436,884.0,3.0,774,104,180,1945.0,2320,7259,0.0,0,8,6,1028,1945,2002,259500
729,729.0,2.0,419,310,440,1999.0,1458,3230,1129.0,32,5,6,729,1999,1999,176000
1092,0.0,3.0,170,252,288,1962.0,1092,11616,116.0,20,5,5,1092,1962,1962,139000
1125,0.0,2.0,0,1125,430,2007.0,1125,8536,0.0,64,5,5,1125,2006,2007,155000
1699,1523.0,5.0,1470,203,594,1990.0,3222,12376,0.0,0,5,7,1673,1990,1990,320000
728,728.0,3.0,0,728,390,2005.0,1456,8461,0.0,24,5,6,728,2005,2006,163990
988,0.0,1.0,938,0,540,1969.0,988,21453,0.0,130,5,6,938,1969,1969,180000
772,351.0,3.0,0,732,264,1979.0,1123,6060,0.0,0,5,4,732,1939,1950,100000
1080,0.0,3.0,570,510,288,1958.0,1080,9464,135.0,0,7,6,1080,1958,1958,136000
1199,0.0,2.0,300,899,530,1993.0,1199,7892,0.0,63,5,6,1199,1993,1993,153900
1586,0.0,3.0,0,1362,435,1979.0,1586,17043,0.0,0,5,6,1362,1979,1998,181000
520,0.0,2.0,490,30,0,1980.0,754,6780,0.0,0,8,6,520,1935,1982,84500
958,0.0,2.0,120,958,440,1977.0,958,4928,0.0,205,5,6,1078,1976,1976,128000
840,0.0,3.0,116,556,0,1980.0,840,4388,0.0,0,7,5,672,1930,1950,87000
660,688.0,3.0,512,148,453,1966.0,1348,7590,266.0,108,5,6,660,1966,1966,155000
1053,0.0,3.0,567,413,750,1998.0,1053,8973,85.0,80,7,5,1008,1958,1991,150000
1216,941.0,4.0,445,479,487,1966.0,2157,14200,309.0,66,6,7,924,1966,1966,226000
1022,1032.0,3.0,695,297,390,2000.0,2054,12224,40.0,48,5,6,992,2000,2000,244000
1327,0.0,3.0,405,658,624,1974.0,1327,7388,0.0,0,6,5,1063,1959,2002,150750
1296,0.0,2.0,1005,262,471,2001.0,1296,6853,136.0,25,5,8,1267,2001,2002,220000
1721,0.0,3.0,570,891,440,1968.0,1721,10335,0.0,96,6,5,1461,1968,1993,180000
1682,0.0,3.0,0,1304,530,1970.0,1682,10400,288.0,0,6,7,1304,1970,1970,174000
1214,0.0,3.0,695,519,318,1967.0,1214,10355,196.0,111,5,5,1214,1967,1967,143000
1959,0.0,5.0,0,1907,766,1989.0,1959,11070,70.0,0,5,7,1907,1988,1989,171000
1004,848.0,3.0,668,336,660,1999.0,1852,9066,320.0,106,5,8,1004,1999,2000,230000
928,836.0,3.0,821,107,470,1997.0,1764,15426,0.0,99,5,6,928,1997,1997,231500
864,0.0,3.0,432,432,0,1980.0,864,10500,0.0,0,5,4,864,1971,1971,115000
1734,0.0,3.0,1300,434,660,2005.0,1734,11645,0.0,24,5,7,1734,2005,2005,260000
910,0.0,4.0,507,403,720,2000.0,1385,8520,0.0,0,4,5,910,1952,1952,166000
1501,0.0,3.0,679,811,577,1999.0,1501,10335,183.0,29,5,7,1490,1999,1999,204000
1728,0.0,6.0,1332,396,504,1963.0,1728,9100,336.0,0,5,5,1728,1963,1963,125000
970,739.0,3.0,0,970,380,2004.0,1709,2522,50.0,40,5,6,970,2004,2006,130000
875,0.0,2.0,209,506,180,1931.0,875,6120,0.0,0,7,5,715,1931,1993,105000
884,1151.0,3.0,0,884,434,2001.0,2035,9505,180.0,48,5,7,884,2001,2001,222500
1080,0.0,3.0,680,400,0,1980.0,1080,7500,120.0,0,5,7,1080,2004,2005,141000
896,448.0,3.0,0,896,240,1936.0,1344,6240,0.0,114,4,5,896,1936,1950,115000
969,0.0,3.0,716,253,440,1975.0,969,10356,0.0,0,6,5,969,1975,1975,122000
1710,0.0,2.0,1400,310,866,2007.0,1710,13891,436.0,102,5,8,1710,2007,2008,372402
1097,896.0,4.0,416,409,495,1971.0,1993,14803,252.0,66,5,6,825,1971,1971,190000
1252,0.0,1.0,429,93,564,1960.0,1252,13500,0.0,0,7,6,1602,1960,1975,235000
1200,0.0,4.0,0,1200,312,1923.0,1200,11340,0.0,0,5,6,1200,1923,1950,125000
572,524.0,2.0,0,572,0,1980.0,1096,9600,0.0,8,5,6,572,1924,1950,79000
1040,0.0,2.0,0,0,625,1950.0,1040,7200,0.0,0,7,5,0,1950,1950,109500
774,1194.0,4.0,0,774,680,2009.0,1968,12003,84.0,75,5,8,774,2009,2010,269500
991,956.0,3.0,222,769,678,2004.0,1947,12552,0.0,136,5,7,991,2004,2005,254900
1392,1070.0,4.0,57,1335,576,2006.0,2462,19378,456.0,132,5,7,1392,2005,2006,320000
1232,0.0,3.0,660,572,516,1984.0,1232,11120,0.0,0,6,6,1232,1984,1984,162500
1572,1096.0,3.0,1016,556,726,2003.0,2668,13688,664.0,0,5,9,1572,2003,2004,412500
1541,0.0,3.0,1201,340,532,2005.0,1541,12182,226.0,70,5,7,1541,2005,2005,220000
882,0.0,1.0,0,882,0,1980.0,882,5500,0.0,0,6,4,882,1956,1956,103200
1149,467.0,3.0,370,779,216,1926.0,1616,5400,0.0,0,7,6,1149,1926,2004,152000
808,547.0,4.0,351,112,0,1980.0,1355,10106,0.0,0,7,5,644,1940,1999,127500
1867,0.0,2.0,379,470,303,1955.0,1867,10708,0.0,0,5,5,1617,1955,1993,190000
1610,551.0,3.0,1288,294,789,2007.0,2161,10562,300.0,120,5,8,1582,2007,2007,325624
840,880.0,3.0,0,840,440,2004.0,1720,8244,0.0,48,5,7,840,2004,2004,183500
1707,0.0,2.0,0,1686,511,1981.0,1707,16669,653.0,64,6,8,1686,1981,1981,228000
854,0.0,2.0,360,360,660,1991.0,1382,12358,0.0,0,6,5,720,1941,1950,128500
1656,0.0,3.0,639,441,528,1960.0,1656,31770,112.0,62,5,6,1080,1960,1960,215000
1064,703.0,2.0,495,354,504,1987.0,1767,5306,0.0,35,7,7,1064,1987,1987,239000
1362,0.0,3.0,288,700,504,1961.0,1362,10197,491.0,20,5,6,1362,1961,1961,163000
1651,0.0,3.0,1398,0,616,1986.0,1651,12416,132.0,0,5,6,1606,1986,1986,184000
2158,0.0,4.0,477,725,576,1950.0,2158,12615,0.0,29,7,6,1202,1950,2001,243000
1164,896.0,4.0,831,320,521,1988.0,2060,10029,268.0,228,5,6,1151,1988,1989,211000
1252,668.0,4.0,57,554,451,1958.0,1920,13650,0.0,0,5,5,1052,1958,1958,172500
2234,0.0,1.0,1904,312,1166,2009.0,2234,17423,748.0,60,5,9,2216,2008,2009,501837
968,0.0,2.0,0,968,480,1935.0,968,8520,0.0,0,6,5,968,1923,2006,100000
769,756.0,3.0,436,320,440,2000.0,1525,2117,456.0,0,5,6,756,2000,2000,177000
901,901.0,4.0,352,441,216,1920.0,1802,7588,0.0,0,6,7,793,1920,1950,200100
1340,0.0,3.0,0,0,252,1957.0,1340,9060,98.0,0,6,5,0,1957,2006,120000
1362,720.0,3.0,0,1362,484,2003.0,2082,11426,0.0,238,5,7,1362,2003,2003,200000
936,316.0,3.0,0,504,576,1986.0,1252,7438,0.0,0,8,5,504,1908,1991,127000
1518,1518.0,4.0,0,1107,840,1993.0,3608,22950,0.0,260,9,10,1107,1892,1993,475000
1217,0.0,3.0,611,577,497,1990.0,1217,9947,0.0,27,5,7,1188,1990,1991,173000
808,704.0,3.0,0,660,180,1916.0,1656,10410,0.0,0,7,5,660,1916,1987,135000
1224,0.0,2.0,1086,0,528,1979.0,1224,7018,275.0,0,5,5,1086,1979,1979,153337
1593,0.0,0.0,1153,440,682,2001.0,1593,4923,0.0,120,5,8,1593,2001,2002,286000
1549,1178.0,3.0,297,556,440,1932.0,2727,10570,0.0,74,8,8,853,1932,1994,315000
725,754.0,4.0,626,99,484,1972.0,1479,7472,138.0,32,9,7,725,1972,2004,184000
1431,0.0,3.0,560,871,666,1999.0,1431,9017,0.0,35,5,7,1431,1999,1999,192000
970,739.0,3.0,0,970,380,2004.0,1709,2522,50.0,40,5,7,970,2004,2004,130000
864,0.0,3.0,390,474,352,1989.0,864,7180,0.0,0,7,5,864,1972,1972,127000
855,0.0,3.0,566,289,440,1976.0,1456,2280,0.0,0,6,6,855,1976,1976,148500
1726,0.0,3.0,1126,600,786,2007.0,1726,9416,205.0,138,5,7,1726,2007,2007,311872
1360,1360.0,3.0,1036,140,795,1918.0,3112,25419,0.0,16,4,8,1360,1918,1990,235000
929,929.0,5.0,0,755,0,1980.0,2229,5520,0.0,198,6,6,755,1912,1950,104000
1713,0.0,3.0,1088,625,856,2004.0,1713,9591,262.0,26,5,8,1713,2004,2005,274900
1121,0.0,2.0,0,1121,440,2003.0,1121,8546,0.0,64,5,4,1121,2003,2004,140000
1279,0.0,3.0,641,276,473,1980.0,1279,10125,0.0,83,6,6,1196,1977,1977,171500
865,445.0,2.0,617,0,398,1924.0,1310,7000,0.0,0,6,6,617,1924,1950,112000
848,0.0,1.0,662,186,420,2004.0,848,4438,205.0,0,5,6,848,2004,2004,149000
720,564.0,2.0,312,408,240,1948.0,1284,3500,0.0,35,7,5,720,1947,1950,110000
1442,0.0,3.0,0,1424,500,1990.0,1442,11851,0.0,34,5,7,1424,1990,1990,180500
1696,0.0,3.0,0,1140,349,1962.0,1696,13673,0.0,30,5,5,1140,1962,1962,143900
1100,0.0,3.0,419,375,312,1960.0,1100,12493,0.0,0,5,4,1100,1960,1960,141000
1180,0.0,3.0,1065,92,454,1988.0,2062,14364,128.0,55,5,7,1157,1988,1989,277000
1092,0.0,3.0,787,305,504,1964.0,1092,8250,260.0,0,7,6,1092,1964,1964,145000
864,0.0,2.0,468,396,0,1980.0,864,5604,0.0,0,6,5,864,1925,1950,98000
1212,0.0,3.0,36,1176,460,2009.0,1212,10420,0.0,22,5,6,1212,2009,2009,186000
932,920.0,3.0,822,78,644,2009.0,1852,8640,0.0,108,5,7,900,2009,2009,252678
990,0.0,3.0,716,274,576,1996.0,990,13568,0.0,0,5,5,990,1995,1995,156000
689,703.0,3.0,378,311,299,1977.0,1392,10900,153.0,36,7,6,689,1977,1977,161750
1236,0.0,2.0,360,710,447,1957.0,1236,10011,64.0,0,6,5,1070,1957,1996,134450
1436,0.0,3.0,946,490,484,2004.0,1436,8450,266.0,98,5,7,1436,2004,2004,210000
810,518.0,3.0,0,686,210,1940.0,1328,9906,0.0,172,4,4,686,1925,1950,107000
1137,817.0,3.0,341,457,431,1939.0,1954,15660,312.0,119,9,7,798,1939,2006,311500
1248,0.0,2.0,16,1232,438,2005.0,1248,3010,16.0,0,5,7,1248,2005,2006,167240
1498,0.0,2.0,0,1498,675,2006.0,1498,8990,0.0,33,5,7,1498,2006,2006,204900
1010,1257.0,4.0,0,1010,390,2002.0,2267,8068,0.0,46,5,6,1010,2002,2002,200000
811,741.0,3.0,550,163,434,1975.0,1552,11475,0.0,208,6,6,713,1975,1975,179900
864,0.0,2.0,524,160,576,1989.0,864,10500,0.0,0,6,4,864,1971,1971,97000
2392,0.0,3.0,56,2336,968,2003.0,2392,13472,922.0,105,5,10,2392,2003,2003,386250
630,672.0,3.0,0,630,280,1991.0,1302,1680,142.0,0,5,5,630,1971,1971,112000
1214,1306.0,4.0,565,638,721,1995.0,2520,9950,290.0,114,5,7,1203,1995,1995,290000
483,504.0,3.0,321,162,280,1987.0,987,1869,127.0,0,6,6,483,1970,1970,106000
912,0.0,3.0,842,70,336,1974.0,912,8521,0.0,0,5,5,912,1967,1967,125000
1555,0.0,2.0,16,1357,430,2005.0,1555,3182,16.0,20,5,7,1373,2005,2006,192500
1194,0.0,3.0,0,1194,312,1959.0,1194,8760,220.0,0,6,6,1194,1959,1959,148000
1490,1304.0,4.0,689,773,810,1995.0,2794,15138,506.0,146,5,8,1462,1995,1996,403000
483,504.0,2.0,0,483,288,1972.0,987,1680,297.0,0,5,6,483,1972,1972,94500
894,0.0,3.0,182,0,308,1976.0,894,10650,0.0,0,6,5,894,1976,1976,128200
860,1100.0,4.0,625,235,440,2002.0,1960,7851,0.0,48,5,6,860,2002,2002,216500
483,0.0,2.0,358,125,264,1971.0,987,1680,604.0,0,3,6,483,1971,1971,89500
1414,0.0,3.0,24,1390,494,2004.0,1414,8773,98.0,105,5,7,1414,2004,2004,185500
1014,730.0,3.0,402,594,457,1993.0,1744,9453,0.0,70,7,7,996,1993,2003,194500
1694,0.0,3.0,0,1694,818,2007.0,1694,12030,254.0,228,5,8,1694,2007,2007,318000
798,0.0,3.0,94,641,220,1949.0,1487,8741,0.0,140,4,6,735,1945,1950,113000
1566,0.0,3.0,1078,488,750,2008.0,1566,9000,36.0,168,5,8,1566,2008,2008,262500
866,0.0,2.0,329,357,0,1980.0,866,3880,0.0,42,9,5,686,1945,1997,110500
889,551.0,3.0,0,540,352,1940.0,1440,5000,0.0,0,4,5,540,1900,1950,79000
626,591.0,3.0,0,626,288,1980.0,1217,10762,0.0,28,6,6,626,1980,1980,120000
1222,888.0,3.0,695,253,463,1994.0,2110,8880,0.0,130,5,7,948,1994,2002,205000
1872,0.0,3.0,929,916,604,1988.0,1872,10400,102.0,39,5,7,1845,1988,1988,241500
908,1020.0,4.0,0,1020,440,1910.0,1928,9142,0.0,60,8,6,1020,1910,1950,137000
1375,0.0,2.0,0,1367,451,1954.0,1375,11310,0.0,30,5,6,1367,1954,1954,140000
840,828.0,3.0,0,840,500,2003.0,1668,11317,101.0,68,5,7,840,2003,2003,180000
1444,700.0,4.0,697,747,389,1958.0,2144,159000,472.0,98,7,6,1444,1958,2006,277000
1306,0.0,3.0,0,728,0,1980.0,1306,5350,0.0,0,2,3,728,1940,1966,76500
1625,0.0,2.0,1573,0,538,2006.0,1625,4750,481.0,0,5,8,1573,2006,2007,235000
798,842.0,3.0,0,798,520,2004.0,1640,8366,0.0,45,5,6,798,2004,2004,173000
1302,0.0,3.0,270,452,309,1964.0,1302,9350,108.0,0,7,6,1302,1964,1991,158000
1314,0.0,3.0,922,392,294,1957.0,1314,8400,0.0,0,6,5,1314,1957,1957,145000
1005,1286.0,4.0,0,975,429,1999.0,2291,8738,302.0,0,5,7,975,1999,1999,230000
864,864.0,3.0,503,361,673,2003.0,1728,8791,0.0,56,5,6,864,2003,2003,207500
1604,0.0,3.0,1334,270,660,2006.0,1604,8814,180.0,110,5,7,1604,2006,2006,220000
963,829.0,3.0,361,602,564,2001.0,1792,12435,172.0,96,5,7,963,2001,2001,231500
882,0.0,2.0,0,0,308,1956.0,882,12702,0.0,45,5,5,0,1956,1956,97000
1382,0.0,3.0,672,0,884,1991.0,1382,19296,399.0,0,5,6,1362,1962,1962,176000
1482,1092.0,3.0,0,1482,868,2007.0,2574,9588,270.0,148,5,8,1482,2007,2007,276000
1212,0.0,3.0,506,0,492,1978.0,1212,8471,46.0,12,7,6,506,1977,1995,151000
926,0.0,3.0,234,0,484,1974.0,1316,5500,0.0,0,7,5,926,1929,2001,130000
764,0.0,2.0,0,680,504,1965.0,764,5232,0.0,0,5,5,680,1925,2004,73000
1422,0.0,3.0,588,606,576,1981.0,1422,12090,210.0,0,6,6,1422,1981,1981,175500
802,709.0,3.0,714,88,413,1997.0,1511,11207,0.0,75,5,6,802,1997,1997,185000
1052,720.0,4.0,378,342,240,1939.0,2192,8400,0.0,24,8,5,720,1939,1997,179500
778,0.0,2.0,403,212,924,1966.0,778,6900,0.0,25,6,5,740,1940,1955,120500
1113,0.0,3.0,751,392,504,1987.0,1113,7917,174.0,30,7,6,1143,1976,1976,148000
1095,844.0,3.0,0,1095,1053,2006.0,1939,10728,0.0,51,5,8,1095,2006,2006,266000
1363,0.0,2.0,226,96,439,1954.0,1363,39104,0.0,0,7,7,1385,1954,2005,241500
1164,1106.0,4.0,524,628,671,1999.0,2270,11764,348.0,57,7,8,1152,1999,2007,290000
1632,0.0,3.0,620,0,338,1958.0,1632,9600,183.0,0,6,6,1240,1958,1988,139000
816,0.0,3.0,546,270,264,1982.0,816,8314,0.0,0,7,5,816,1982,1982,124500
952,596.0,3.0,0,952,672,1978.0,1548,7264,0.0,0,7,7,952,1925,2007,205000
1560,0.0,3.0,0,1560,573,2003.0,1560,9196,0.0,150,5,7,1560,2003,2003,201000
864,0.0,2.0,120,744,400,1951.0,864,19138,0.0,0,5,4,864,1951,1951,141000
